gene	pvalue
TMEM220	1.0489722141606287e-12
ABL1	1.085421612095629e-12
B3GNT1	1.0914792631754597e-12
BRMS1	1.0914792631754597e-12
SALL2	1.110920928827235e-12
EGR1	1.1444003028005557e-12
HOXA3	1.1475337589150334e-12
XRCC3	1.1570576000543124e-12
TCF7L1	1.216905808073111e-12
GBGT1	1.2551798916413151e-12
BUD31	1.2636968362725409e-12
PTCD1	1.2636968362725409e-12
ZFP106	1.2735781821951591e-12
MTHFD2	1.2830619172769247e-12
RFFL	1.2953663854690596e-12
TAPBP	1.3322876239941401e-12
ITFG3	1.3632739469954055e-12
HNRNPUL1	1.3812734669770391e-12
GPATCH3	1.4603365108239863e-12
UGT3A1	1.5427910343940258e-12
TAOK3	1.5439965204010383e-12
C8orf58	1.5800625548384507e-12
NCOR2	1.6233329063224512e-12
ANO1	1.6808787651763444e-12
FXR2	1.690087896226276e-12
INTS1	1.7222484709307064e-12
RPL22	1.7255660728020228e-12
DOCK1	1.7324755556631595e-12
EXTL3	1.7819921896741156e-12
TRAF7	1.7889535525052819e-12
COL11A2	1.8584152613036397e-12
RXRB	1.8584152613036397e-12
ZNF217	1.888350393168245e-12
VPS28	1.893431450422642e-12
SRRT	1.899404862809554e-12
MBNL2	1.932317240257521e-12
TUBGCP6	2.0017609527065765e-12
WT1	2.0098584388536475e-12
LY6G5B	2.010762157790898e-12
CSNK2B	2.010762157790898e-12
VAC14	2.04661605709623e-12
MUDENG	2.175269330205414e-12
VOPP1	2.176857047699453e-12
TMEM156	2.1828963544217172e-12
HOXA5	2.247144717234081e-12
MIR25	2.2747995252030955e-12
EHMT2	2.3146723822004772e-12
TAF1B	2.3194197747515394e-12
HPS1	2.3268941935341925e-12
KDM4B	2.3275995234301215e-12
MCM7	2.3446908206460757e-12
MXD4	2.3533378774294033e-12
ATXN7L1	2.3815608606012997e-12
IL4I1	2.498378556933098e-12
NUP62	2.498378556933098e-12
ATF5	2.498378556933098e-12
RORA	2.523177359897882e-12
YIPF2	2.534481910495836e-12
OSBPL5	2.633512599907815e-12
LNX1	2.665745301101565e-12
SOAT1	2.673006443281315e-12
NECAB1	2.675702457841516e-12
P4HB	2.918506419581907e-12
MTHFD1L	2.9960286158182876e-12
RABGAP1L	3.010830105673328e-12
SRF	3.0357653255433925e-12
PCSK7	3.087022265344986e-12
WHSC2	3.0878908387225517e-12
BIN3	3.1595963059944057e-12
CDC16	3.191570425994223e-12
C1R	3.316536436120355e-12
TICAM1	3.4923228042524392e-12
FAM83F	3.5116367749388495e-12
MYO10	3.605688995561719e-12
BOC	3.6346296489106468e-12
SOCS7	3.71702965570726e-12
PLEKHG2	3.733676989368832e-12
IMMP2L	3.756374371870865e-12
BATF	3.800682416317884e-12
PITPNC1	3.9106317825134734e-12
BRPF3	3.9643895657339284e-12
ZDHHC20	4.0669186975240395e-12
DYNC1H1	4.098428445267128e-12
NTM	4.108275012889234e-12
CMKLR1	4.176746294523568e-12
LEPRE1	4.2961220732681104e-12
FAM193B	4.324875039238509e-12
LAMA4	4.328535558088288e-12
C20orf94	4.401731836786974e-12
TCF25	4.490868543230042e-12
PRAM1	4.6405002348766666e-12
LCAT	4.651810516250738e-12
SLC12A4	4.651810516250738e-12
KLHL21	4.724025324464485e-12
TRAF3	4.886074733157477e-12
SLC3A2	4.887029091296392e-12
BRD1	5.0326401048586456e-12
MCF2L	5.1456615524035754e-12
PARP10	5.26621186694884e-12
GAK	5.284958263969789e-12
KLC1	5.378740291729543e-12
UNC5B	5.4374044633120046e-12
SLC12A8	5.581483713472167e-12
PRKCZ	5.642882933453027e-12
BAT2L1	5.831689702100218e-12
TACR1	6.042750452295443e-12
ELL	6.122931784655608e-12
ARHGEF10L	6.1325316144654785e-12
TUBGCP2	6.286461919615269e-12
CLTC	6.291752230163186e-12
PIK3R1	6.3547543030571834e-12
SFRP1	6.637975324596192e-12
MIR106B	6.792055866189055e-12
MIR93	6.792055866189055e-12
LENG8	6.868921050823439e-12
MECR	7.16765516019282e-12
ETV6	7.197802198091802e-12
HSF1	7.79414952657305e-12
CPSF4	7.964178473931716e-12
DAZAP1	8.093224612075856e-12
SLC26A3	8.101998642682985e-12
ERN1	8.275734204674116e-12
PPM1L	8.341251631301627e-12
RASSF5	8.34944280786087e-12
LLGL1	8.355619874043743e-12
CUX1	8.501199619658552e-12
MUC1	8.577050082100864e-12
CRHR2	8.586229207065354e-12
LOC388588	8.659483400294458e-12
ABR	8.694823509474369e-12
POLR1A	8.893034748129898e-12
ZBTB45	9.782333996999398e-12
RRAGD	9.868618144381222e-12
FHOD1	9.876148117506901e-12
UBR4	1.0188191771280033e-11
NISCH	1.0425351107747137e-11
PRPF40B	1.0471452479832088e-11
FGFR2	1.0489845324912036e-11
PCNXL3	1.1134626810249952e-11
CBLN4	1.1263499143274306e-11
ID2	1.12845033984085e-11
ARL10	1.1570864876428117e-11
RBM42	1.1735190228678204e-11
PLCB4	1.1735618337484129e-11
C20orf108	1.2324987124595116e-11
BAT2	1.2332900777216732e-11
LOC284805	1.235361934342296e-11
PDIA4	1.2485450435120623e-11
CDH23	1.260096627365079e-11
SLC25A2	1.2711002622307566e-11
MED26	1.303658769973369e-11
FLJ45340	1.3073708923007735e-11
SLC6A6	1.3392218470904358e-11
CHERP	1.3640762525495994e-11
OBFC1	1.3833184075552285e-11
PRKCB	1.3841270329115038e-11
SLC7A14	1.4279499120346654e-11
SFRS8	1.4310493216235233e-11
PRRX2	1.4573339220438353e-11
POLR3E	1.5101458034126477e-11
PLD3	1.5253426141143317e-11
TSLP	1.5409429697997e-11
VPS13D	1.547370582256277e-11
SSBP3	1.5579564735917905e-11
ADPRHL1	1.589040776869061e-11
C1orf159	1.5940169666936867e-11
TIMM50	1.614535879576018e-11
PLXNA1	1.6207322551930247e-11
VGLL4	1.6307738473663784e-11
OPCML	1.6348484297026927e-11
ACSS1	1.64035121481046e-11
ITGB3	1.6961420267618843e-11
ZNF205	1.7124597928215628e-11
EFEMP2	1.7141396357228397e-11
AAK1	1.7276204599409788e-11
CSRNP2	1.7284024554229535e-11
PBX1	1.728423027959316e-11
C17orf103	1.7451675126242498e-11
DIS3L	1.757056001194232e-11
GNE	1.7645843439751712e-11
UPB1	1.7875737615718537e-11
CHD2	1.7889549675643244e-11
FLJ22536	1.796427568724261e-11
LRSAM1	1.8217282700244336e-11
C12orf23	1.8268407138121413e-11
COTL1	1.833116393508064e-11
FAM196A	1.8639078543772735e-11
LTBP2	1.8680434152836655e-11
MGAT4B	1.8762350031808912e-11
AZI1	1.8766269755226257e-11
DZIP1	1.8829594567264414e-11
ODZ2	1.8996226222856346e-11
SRRM2	1.9127887252348372e-11
PARP1	1.9327372062398425e-11
SGTA	1.9550678333374e-11
ADIG	1.9666516993948564e-11
BTRC	1.9892643076047046e-11
CTSA	1.9961360432766842e-11
NEURL2	1.9961360432766842e-11
NFATC4	2.0811749335884864e-11
NOM1	2.1191113029233457e-11
DNHD1	2.131571178519081e-11
OSBPL3	2.1837177715475614e-11
KEAP1	2.2122100293895398e-11
ESRP2	2.2178531230316955e-11
RIC8A	2.225178549106067e-11
NAT10	2.24872065871053e-11
TEC	2.263209514310421e-11
NR1H2	2.2796474962502858e-11
C7orf20	2.2947505000736633e-11
ATP6V0C	2.315069909312968e-11
AMDHD2	2.315069909312968e-11
CPVL	2.322687032791467e-11
RGS14	2.334003486975643e-11
TMEM127	2.3413226688291728e-11
CIAO1	2.3413226688291728e-11
CARS	2.3456154902513995e-11
ATP9B	2.373029773629667e-11
INPP5A	2.4205832258156824e-11
YPEL4	2.4237864404984354e-11
TRNP1	2.4319219269417015e-11
ZMYM4	2.4459728510626402e-11
GHRH	2.4496415435337613e-11
CCDC105	2.492189517293955e-11
ZDHHC7	2.557286151780623e-11
SPTBN1	2.6538291627044252e-11
OBSCN	2.703154763311587e-11
RARA	2.755610184264844e-11
FAM193A	2.7557724798555867e-11
LOC100294362	2.759289544740956e-11
RNF213	2.759289544740956e-11
NEK4	2.7744645788104984e-11
LACTB	2.837819909595326e-11
SLC25A25	2.8475797184372747e-11
SSTR4	2.855089507226134e-11
EIF2C2	2.954697071382353e-11
FBXL19	2.9879135312484216e-11
ORAI3	2.9879135312484216e-11
LRIG1	3.0276253692167514e-11
MYT1L	3.101479333289586e-11
FTSJ3	3.133317149939079e-11
CTPS	3.174547257639881e-11
RHOT2	3.1857218424556767e-11
WDR90	3.1857218424556767e-11
GTF2I	3.220270519376246e-11
SLC38A1	3.237809250226266e-11
ADAM5P	3.2421306673498675e-11
GRB10	3.2908087081818134e-11
CCM2	3.307801856832566e-11
JAK1	3.320563928864755e-11
ZFHX3	3.342123581703255e-11
NAB2	3.354043739433982e-11
CHMP2A	3.3778049216102444e-11
UBE2M	3.3778049216102444e-11
NMRAL1	3.4243392733239884e-11
CDH22	3.437997089431451e-11
PCNT	3.5035354075300606e-11
TCOF1	3.510040495031616e-11
PLA2G5	3.677011150898862e-11
ZMYND8	3.6828919638083066e-11
C1orf21	3.684606342524862e-11
UHRF1	3.6900143949992385e-11
HECW1	3.7462908225424854e-11
MS4A15	3.791553676864738e-11
LOC121952	3.8125339000492075e-11
KIAA0415	3.831876571869384e-11
GPR68	3.874910807253273e-11
EIF4E3	3.88895002983657e-11
FRMD8	3.914121324746247e-11
NHP2	3.947121942021609e-11
DNMT3A	3.949375724228129e-11
RFTN1	3.955828460154649e-11
TJAP1	4.0189168081730915e-11
NLGN1	4.0253866419882636e-11
GRAMD4	4.1173615455584474e-11
HOPX	4.203383141446353e-11
PSAP	4.239611796833493e-11
COBL	4.274635659730067e-11
TSNARE1	4.340144108486913e-11
HIST1H3E	4.348833752972133e-11
ZNF629	4.362266494426789e-11
PXN	4.3802230421917806e-11
NAV1	4.417631874607962e-11
C2CD2L	4.441105733310255e-11
ETS2	4.471836047838921e-11
MYO15A	4.4785854366743183e-11
C20orf114	4.533138023143299e-11
DNMT1	4.616825190654163e-11
CRYBB3	4.650297173838725e-11
C1orf177	4.720485280096262e-11
RNU5D	4.7430966826742795e-11
CKMT2	4.7430966826742795e-11
RNU5E	4.7430966826742795e-11
HSPG2	4.752382659839877e-11
AJAP1	4.775433442108968e-11
ZNF509	4.813850579686783e-11
CLDN6	4.872236894199255e-11
LAMP1	4.877271259258663e-11
ILK	4.9676053264356907e-11
HADHA	4.977869622029614e-11
MGC14436	5.127205814647878e-11
DHX16	5.182294363265106e-11
KLHDC8B	5.245181191103639e-11
ZNF274	5.275584129930538e-11
AFF1	5.381537936020262e-11
FRMD4A	5.415437637920893e-11
PLEC1	5.4724602454810306e-11
CUL7	5.4785355591333725e-11
MRPL2	5.4785355591333725e-11
SLC9A3R2	5.537323850270272e-11
FIS1	5.575606288527381e-11
PCCA	5.586264491626194e-11
AP3D1	5.69804212849419e-11
C6orf27	5.766057893376427e-11
CYFIP1	5.924166589993405e-11
C16orf70	5.934075362180037e-11
FAM78B	5.94463342921532e-11
USP3	5.980181670774133e-11
ENPEP	6.013306165404607e-11
OLFML2B	6.08775588671289e-11
ARGLU1	6.094404199517917e-11
WNT10A	6.22223307582183e-11
DIRC3	6.255677623313076e-11
SND1	6.339825342747945e-11
LRP10	6.425166535253181e-11
F13A1	6.528932968587775e-11
ADCK5	6.534419798085283e-11
FBXO36	6.540318003901021e-11
CDK10	6.654889585807394e-11
RAC1	6.786323805300076e-11
C14orf138	6.863832056235771e-11
HIST2H2BF	6.884639350693216e-11
YJEFN3	6.909354652299308e-11
MAN2B1	6.941261395097649e-11
ARHGAP22	7.085709671613891e-11
DHCR24	7.09543177211221e-11
PEX10	7.181666760250859e-11
BRD4	7.274989699991067e-11
SLC37A4	7.277861227085562e-11
C10orf125	7.282229254456628e-11
CPNE4	7.289822320053032e-11
MRPL23	7.311331351280319e-11
MICALL2	7.34547736836344e-11
CSNK1D	7.355760948663526e-11
RAPGEF1	7.395906702821845e-11
AKAP13	7.421634540002958e-11
SYNGR3	7.428682560074979e-11
CD80	7.447850823521514e-11
ALKBH5	7.459383446473746e-11
FLJ40330	7.527516884602198e-11
LOC84740	7.696468180197003e-11
AFAP1	7.696468180197003e-11
RTEL1	7.744926613105953e-11
KANK2	7.936534363393212e-11
MED16	8.028156900099643e-11
DUSP28	8.057443207609078e-11
LILRA4	8.10894756153902e-11
AGPAT3	8.114212977496114e-11
DENND1C	8.221151798562654e-11
SNTB1	8.234595801522386e-11
RHOBTB2	8.278815447767813e-11
ZNF167	8.281690347133937e-11
LOC652276	8.3144538211808e-11
BAT5	8.31678313562363e-11
SIDT1	8.382353636828571e-11
TOX4	8.691345475931152e-11
PDLIM7	8.718860904518474e-11
SLC22A4	8.771984147564845e-11
GIGYF1	8.840128977356954e-11
MLL3	8.85162900668595e-11
SOLH	8.886328325600455e-11
CTNNA1	8.901886137455166e-11
LRRTM2	8.901886137455166e-11
C17orf49	8.940154068453981e-11
C3orf21	8.962681073710377e-11
PBRM1	9.032669486383718e-11
MAP2K1	9.044709076975074e-11
C1orf161	9.123890283431355e-11
AIM2	9.137780659279105e-11
TBL1XR1	9.17229588018985e-11
ELMO3	9.179250121448941e-11
E2F4	9.179250121448941e-11
LOC400759	9.333653964219953e-11
CSRNP1	9.360129456783364e-11
SLC25A40	9.533613270162791e-11
DBF4	9.533613270162791e-11
RAI14	9.69153820860444e-11
MACROD2	9.711832110969982e-11
INSC	9.757733650320004e-11
MXRA7	9.949010536232269e-11
FNDC3B	9.952057935167754e-11
PPP2R3A	9.990471251688012e-11
CYTH1	1.006874867695093e-10
KCNJ14	1.0077241053778151e-10
KIAA1967	1.0283712511451418e-10
C4orf51	1.0290154583107404e-10
KLHL25	1.0290876993675691e-10
HAS3	1.0469657812329873e-10
CHCHD6	1.0497474980308499e-10
ATG16L1	1.0520604681609229e-10
PXK	1.0524289501546666e-10
LRRN3	1.1020641746223768e-10
SOCS3	1.1441872249613545e-10
SKIV2L	1.1460407205306941e-10
EEF1DP3	1.1531499668299708e-10
HPGDS	1.177937638395544e-10
NUDT1	1.187652119836252e-10
SH2B2	1.18901787061775e-10
FHAD1	1.195512914074663e-10
E2F8	1.2115224677821042e-10
PGCP	1.2180668042098948e-10
CBFA2T2	1.22338446522973e-10
C1orf157	1.2249315503133836e-10
STAG3	1.2309938266942045e-10
GPC2	1.2309938266942045e-10
HIVEP2	1.234301243706719e-10
DAPK1	1.282183549516091e-10
LITAF	1.285320099925164e-10
CCL11	1.30164545911165e-10
TPM2	1.3105026788584934e-10
LOC90834	1.311849718408548e-10
FOXP1	1.3158572890360866e-10
PARM1	1.326144363078798e-10
EPHB1	1.3297509934880375e-10
COPZ1	1.3358222428826659e-10
MIR148B	1.3358222428826659e-10
FGF6	1.3377378754682593e-10
CCDC71	1.344635969956467e-10
SSH1	1.3475685819476577e-10
TUFM	1.3603995985635722e-10
ASAP1	1.368344754614249e-10
GNL1	1.379975488433835e-10
GSTA4	1.3859327698287414e-10
ZNF576	1.3931349888574203e-10
LRRC41	1.404988785021944e-10
CCDC46	1.4154370217315973e-10
PDE4DIP	1.4161532632251664e-10
C11orf42	1.4319604028347795e-10
SORBS2	1.4355046942419687e-10
NEK1	1.444342946413613e-10
DCAF15	1.451110199946906e-10
MAN1A1	1.46429291822976e-10
TNIP1	1.4740734977576513e-10
VTCN1	1.5035863401320163e-10
KDM2A	1.5121418605992506e-10
PRPSAP2	1.5138041630812222e-10
ZNF513	1.552280667547657e-10
RBPMS	1.5568050375293186e-10
ARAP1	1.566758789372212e-10
SH3PXD2B	1.591548428600949e-10
ATN1	1.5954207942821216e-10
TULP1	1.59624897640074e-10
LRP1	1.608022428136992e-10
FRMD3	1.610839681492867e-10
PTK6	1.619336674622528e-10
PRR5-ARHGAP8	1.619509764341942e-10
PRR5	1.619509764341942e-10
CECR1	1.6247782483564784e-10
RBM33	1.624946802052176e-10
CUGBP1	1.6419727996826947e-10
HHAT	1.6471001407270942e-10
SETBP1	1.6512418220441765e-10
FAM129B	1.6700621089895267e-10
GCNT2	1.67790558941151e-10
FLJ14107	1.702349324517192e-10
DMWD	1.708532099799127e-10
RPN1	1.7141879974387303e-10
TSSC4	1.7222775735096684e-10
C7orf50	1.725875577050229e-10
C16orf35	1.73600599550423e-10
PFN4	1.755455114316511e-10
FBXO41	1.7570821120100775e-10
BEND5	1.765830007986313e-10
AGBL4	1.765830007986313e-10
PLTP	1.7692080434102265e-10
ITIH5	1.7742538198993317e-10
WISP1	1.7845725796304855e-10
MAPK13	1.788220055276877e-10
ZBP1	1.8106920428101035e-10
SCML4	1.8153600974457478e-10
LMF1	1.8225903129953918e-10
OAZ2	1.827684472062342e-10
SENP5	1.8295221924760415e-10
KIAA0467	1.8362484790042967e-10
CRIM1	1.855455061015985e-10
LRP5	1.8650616427649364e-10
ATP2C2	1.8928880788656566e-10
ZDHHC14	1.9049123953057198e-10
LRRC16A	1.9167437682450291e-10
SLC23A2	1.917101312787745e-10
MYL9	1.9259533572353366e-10
CCDC101	1.9294375399898633e-10
HOXA4	1.9307994709760348e-10
FBXO6	1.934168610535547e-10
NPAS3	1.938025709893375e-10
OSBPL7	1.9535194021850636e-10
LIFR	1.956415139599308e-10
DHX58	1.9688720344394628e-10
KAT2A	1.9688720344394628e-10
MAP4K1	1.9765097050635521e-10
KRT80	1.988678998312124e-10
ALDH1A3	1.9935544965157653e-10
NRP2	2.0282148053351387e-10
MCRS1	2.0767200131095025e-10
SNTG2	2.084670509203634e-10
TM4SF1	2.0852364033988978e-10
GRINL1A	2.0920842001023888e-10
GCOM1	2.0920842001023888e-10
ME3	2.1118117010766785e-10
SYNPO	2.1280301399297848e-10
ZZEF1	2.1299374457274626e-10
INF2	2.1546932918310548e-10
TIMM10	2.186141288809376e-10
UNC5D	2.1911457950459666e-10
LGALS9B	2.2020368935005692e-10
DEF8	2.2038296205433993e-10
MBD1	2.210776988480991e-10
BICD2	2.2116646467262427e-10
GPR133	2.2198789987893837e-10
FBLN5	2.2475903511956728e-10
PRKAG2	2.2645961993777738e-10
C19orf48	2.310244531035256e-10
IRF9	2.3165783252393723e-10
PKD2	2.317942843220731e-10
ASPSCR1	2.3387674430070756e-10
UBE2Q1	2.361160135619828e-10
ITPR3	2.36555102719057e-10
LSM2	2.381785418035464e-10
VARS	2.4113662080809135e-10
XIRP1	2.4216801488201116e-10
PTDSS1	2.430094939796363e-10
RIMBP2	2.452210165437907e-10
CAD	2.467834279019487e-10
C6orf124	2.490757562904484e-10
IFFO1	2.4956938372450093e-10
PKD1	2.4975712819165394e-10
GRM7	2.5094288052566095e-10
SPOCK2	2.54947078827924e-10
NUP210	2.551763114412854e-10
TCTE1	2.57315816062751e-10
AARS2	2.57315816062751e-10
UBTF	2.575496159905476e-10
RNPEP	2.598831984949711e-10
MIR21	2.629811084264623e-10
EXTL1	2.639850213966398e-10
ARHGEF16	2.64698203514134e-10
TBKBP1	2.673520413653298e-10
IL11RA	2.6847613368705704e-10
GLI2	2.698319477282711e-10
GOLGA3	2.703128329618439e-10
SESN2	2.7060850967336177e-10
CIT	7.748474424808092e-10
SEMA4C	7.881021915564911e-10
DCUN1D2	3.83421954427016e-09
ERMN	1.71043331950236e-08
